"","science","kurzgesagt","love","videos","power","future","lot","video","humanity","hope","live","climate","change","people","money","earth","nuclear","feel","electric","cars","bad","global","warming","gas","coal","solar","wind","countries","plants","carbon","channel","country","energy","time","humans","fossil","fuels","life","green","human","planet","real","oil","technology","emissions","fuel","water","kids","china","news"
"earth",79,27,37,27,81,94,65,149,67,98,74,407,391,255,79,1128,63,51,55,50,63,149,130,59,43,98,52,55,54,102,36,40,126,170,168,85,54,161,68,103,192,58,49,56,72,53,74,21,36,30
"nuclear",32,39,40,46,551,116,118,201,41,65,23,269,247,235,64,63,1497,30,74,61,85,79,50,130,163,319,300,99,225,103,32,54,600,148,35,189,116,49,128,44,66,46,96,87,103,154,63,16,49,19
"feel",20,82,46,53,40,143,82,310,51,158,54,255,262,233,37,51,30,916,33,26,70,42,29,15,25,35,26,34,12,34,30,22,62,113,30,48,26,81,34,32,52,56,16,30,31,33,20,50,11,33
"electric",11,23,29,16,118,59,74,118,17,40,38,155,182,183,61,55,74,33,694,444,53,43,27,103,93,146,86,79,55,91,15,49,170,77,28,102,71,41,101,20,43,25,56,55,88,82,35,12,39,9
"cars",13,24,38,24,108,71,81,106,18,42,40,162,180,186,57,50,61,26,444,732,51,42,19,97,80,117,71,85,55,91,12,48,145,82,34,90,66,39,91,20,47,23,53,48,94,81,39,10,31,5
"bad",34,53,30,45,112,90,88,298,58,109,61,342,311,288,60,63,85,70,53,51,1099,71,52,50,49,68,57,66,44,74,35,31,107,128,50,100,60,86,64,47,80,62,57,42,70,82,33,33,26,102
"global",92,45,37,36,99,83,59,191,57,82,69,455,399,260,63,149,79,42,43,42,71,1114,566,64,56,70,46,125,46,127,49,51,145,156,71,111,64,91,82,91,143,83,49,59,134,79,80,25,60,35
"warming",67,20,23,19,59,52,41,93,37,46,43,301,261,156,50,130,50,29,27,19,52,566,770,47,30,47,21,52,28,95,11,31,81,102,64,78,47,61,54,78,97,55,33,32,79,54,45,15,27,21
"gas",24,20,20,15,127,54,53,103,11,42,29,236,222,127,39,59,130,15,103,97,50,64,47,707,205,119,90,87,98,97,16,43,194,75,36,107,73,49,77,26,58,42,180,42,122,89,87,13,34,14
"coal",11,23,19,12,192,60,61,113,23,39,37,160,153,140,54,43,163,25,93,80,49,56,30,205,786,150,111,131,185,84,15,64,227,81,28,107,71,28,79,25,38,26,151,39,99,77,29,13,86,18
"solar",40,29,37,26,297,89,117,147,33,53,47,213,217,193,86,98,319,35,146,117,68,70,47,119,150,986,505,101,114,108,20,51,441,144,39,179,132,67,120,46,91,45,76,80,96,125,75,10,52,17
"wind",17,24,21,24,239,58,79,103,13,36,20,126,131,121,45,52,300,26,86,71,57,46,21,90,111,505,654,65,95,78,11,38,346,96,19,137,105,39,85,20,51,26,58,55,72,94,62,7,34,13
"countries",25,32,27,25,127,72,91,203,46,68,55,282,282,272,71,55,99,34,79,85,66,125,52,87,131,101,65,992,71,125,23,122,218,116,32,120,78,60,106,52,72,51,76,68,187,82,46,19,140,28
"plants",27,11,26,16,253,43,63,71,17,24,17,108,113,114,39,54,225,12,55,55,44,46,28,98,185,114,95,71,549,94,12,34,171,96,33,81,51,50,67,34,44,25,41,32,58,73,63,9,38,6
"carbon",45,32,40,41,121,81,107,205,24,72,42,328,318,213,69,102,103,34,91,91,74,127,95,97,84,108,78,125,94,1079,21,49,215,143,59,158,89,91,83,62,111,66,69,103,249,124,59,24,45,30
"channel",60,76,102,79,26,36,31,214,18,73,11,184,142,96,23,36,32,30,15,12,35,49,11,16,15,20,11,23,12,21,805,15,38,37,14,27,15,54,22,16,41,52,7,16,22,17,32,11,9,59
"country",13,30,17,15,72,49,56,89,12,63,72,137,140,139,43,40,54,22,49,48,31,51,31,43,64,51,38,122,34,49,15,611,104,70,21,55,36,37,49,26,36,22,36,21,74,40,24,17,85,19
"energy",67,68,58,54,375,168,174,295,62,119,74,407,423,376,150,126,600,62,170,145,107,145,81,194,227,441,346,218,171,215,38,104,1858,252,66,354,219,124,323,79,126,90,153,159,198,251,104,26,82,31
"time",77,101,58,77,177,157,149,312,101,210,112,504,497,414,125,170,148,113,77,82,128,156,102,75,81,144,96,116,96,143,37,70,252,1642,83,138,80,171,100,91,153,98,75,88,132,122,83,58,46,53
"humans",38,22,33,18,46,60,54,93,56,54,52,340,314,156,35,168,35,30,28,34,50,71,64,36,28,39,19,32,33,59,14,21,66,83,754,59,41,84,30,99,145,53,30,38,39,39,36,20,14,10
"fossil",54,49,34,33,197,85,95,202,43,86,39,339,329,266,98,85,189,48,102,90,100,111,78,107,107,179,137,120,81,158,27,55,354,138,59,1162,599,75,141,68,99,68,92,89,125,617,51,14,52,24
"fuels",24,24,16,19,127,51,52,115,17,38,24,199,199,148,62,54,116,26,71,66,60,64,47,73,71,132,105,78,51,89,15,36,219,80,41,599,637,51,87,45,56,43,59,57,71,123,31,8,34,10
"life",45,47,41,30,89,137,79,264,77,169,143,396,400,250,67,161,49,81,41,39,86,91,61,49,28,67,39,60,50,91,54,37,124,171,84,75,51,1080,60,115,147,140,34,53,55,49,58,63,20,98
"green",28,39,30,23,135,81,70,147,35,51,42,224,218,198,90,68,128,34,101,91,64,82,54,77,79,120,85,106,67,83,22,49,323,100,30,141,87,60,770,35,67,43,73,88,78,94,34,13,38,20
"human",45,20,24,21,68,78,46,115,51,68,61,284,283,193,46,103,44,32,20,20,47,91,78,26,25,46,20,52,34,62,16,26,79,91,99,68,45,115,35,716,107,42,29,49,54,35,40,33,22,19
"planet",70,29,41,28,106,127,75,158,82,128,89,392,386,301,109,192,66,52,43,47,80,143,97,58,38,91,51,72,44,111,41,36,126,153,145,99,56,147,67,107,1117,71,59,62,75,71,79,47,25,30
"real",50,45,38,47,67,74,63,193,32,87,50,388,388,215,55,58,46,56,25,23,62,83,55,42,26,45,26,51,25,66,52,22,90,98,53,68,43,140,43,42,71,811,38,37,56,46,28,25,27,81
"oil",15,18,16,15,90,44,50,97,15,46,22,182,178,165,81,49,96,16,56,53,57,49,33,180,151,76,58,76,41,69,7,36,153,75,30,92,59,34,73,29,59,38,631,44,59,80,27,12,34,20
"technology",45,23,25,24,98,79,67,119,32,63,34,193,209,156,47,56,87,30,55,48,42,59,32,42,39,80,55,68,32,103,16,21,159,88,38,89,57,53,88,49,62,37,44,608,74,64,31,10,14,15
"emissions",37,34,31,26,102,71,103,184,27,64,40,255,260,196,65,72,103,31,88,94,70,134,79,122,99,96,72,187,58,249,22,74,198,132,39,125,71,55,78,54,75,56,59,74,947,92,36,17,100,14
"fuel",38,37,30,21,158,67,87,140,28,76,31,219,215,191,71,53,154,33,82,81,82,79,54,89,77,125,94,82,73,124,17,40,251,122,39,617,123,49,94,35,71,46,80,64,92,837,52,11,31,22
"water",49,13,16,10,81,44,51,65,25,38,34,222,211,128,36,74,63,20,35,39,33,80,45,87,29,75,62,46,63,59,32,24,104,83,36,51,31,58,34,40,79,28,27,31,36,52,583,6,18,16
"kids",7,40,14,11,24,113,37,122,22,92,45,149,138,179,21,21,16,50,12,10,33,25,15,13,13,10,7,19,9,24,11,17,26,58,20,14,8,63,13,33,47,25,12,10,17,11,6,614,7,13
"china",12,12,9,10,79,20,38,62,13,19,25,139,132,85,34,36,49,11,39,31,26,60,27,34,86,52,34,140,38,45,9,85,82,46,14,52,34,20,38,22,25,27,34,14,100,31,18,7,575,8
"news",15,66,35,65,22,37,43,252,36,120,31,377,289,110,22,30,19,33,9,5,102,35,21,14,18,17,13,28,6,30,59,19,31,53,10,24,10,98,20,19,30,81,20,15,14,22,16,13,8,985
