"","cold","sea","gas","temperature","global","warming","earth","energy","increase","water","climate","change","people","live","real","planet","sun","weather","lot","money","human","future","ice","age","caused","heat","air","atmosphere","warmer","time","levels","video","humans","carbon","day","rise","degrees","life","population","temperatures","happen","science","scientists","level","power","emissions","countries","china","fossil","pollution"
"ice",41,33,33,55,98,90,98,13,16,57,104,78,39,9,11,85,28,25,17,12,38,11,326,165,25,27,33,43,34,65,31,24,37,19,25,31,46,42,6,30,17,21,18,28,8,17,5,6,15,26
"age",14,12,11,32,63,61,54,6,6,18,53,35,27,7,8,40,21,17,10,8,15,9,165,197,17,10,6,15,24,29,18,5,22,7,7,11,25,16,8,19,9,15,15,11,2,5,6,0,8,4
"caused",5,7,17,28,76,80,49,7,9,9,77,50,40,13,18,40,9,11,11,3,38,7,25,17,169,8,6,12,5,18,27,2,38,10,3,6,3,28,3,7,6,26,27,7,9,24,14,4,15,12
"heat",16,13,13,39,51,40,44,26,14,24,64,47,48,14,11,38,22,22,10,7,17,8,27,10,8,217,19,24,15,31,21,4,19,19,11,16,33,7,12,26,12,14,13,9,9,16,10,5,13,6
"air",24,7,28,12,30,25,38,15,4,40,46,45,24,7,7,36,9,10,5,9,28,8,33,6,6,19,142,34,10,36,8,19,10,16,24,8,14,31,4,11,3,12,6,7,8,11,12,6,11,33
"atmosphere",24,3,40,30,40,40,52,19,18,39,65,52,24,7,8,53,18,9,7,6,33,5,43,15,12,24,34,151,6,41,19,20,16,35,23,16,16,30,5,22,9,14,12,6,6,20,12,3,12,24
"warmer",15,9,4,22,40,39,46,11,11,15,54,25,30,14,7,30,9,16,4,8,13,5,34,24,5,15,10,6,147,19,21,9,8,6,3,17,35,16,2,20,4,9,8,9,3,8,6,0,10,1
"time",37,17,35,45,82,73,87,22,19,41,124,107,89,24,28,72,22,28,18,13,53,35,65,29,18,31,36,41,19,425,34,28,34,30,39,30,41,56,16,28,24,32,30,18,11,23,22,12,35,32
"levels",8,60,19,31,69,58,61,16,25,29,76,47,49,10,23,44,8,13,8,6,36,9,31,18,27,21,8,19,21,34,185,6,26,21,4,40,23,34,12,28,8,19,20,27,18,27,13,3,28,14
"video",23,7,22,18,33,29,27,5,10,29,74,67,41,6,20,32,6,8,9,4,28,9,24,5,2,4,19,20,9,28,6,220,7,5,20,9,20,42,12,8,5,20,6,6,5,7,16,4,4,19
"humans",7,9,18,28,75,72,79,13,6,16,85,65,59,25,19,83,13,14,7,7,49,20,37,22,38,19,10,16,8,34,26,7,322,18,7,13,21,47,27,12,18,17,26,8,16,24,13,7,17,18
"carbon",5,14,20,29,66,49,39,28,19,21,74,57,45,14,10,35,15,13,9,11,15,10,19,7,10,19,16,35,6,30,21,5,18,222,9,12,18,18,11,20,10,18,15,12,15,51,23,21,23,12
"day",26,2,27,12,22,29,29,11,5,26,46,50,31,11,10,38,8,11,6,8,27,8,25,7,3,11,24,23,3,39,4,20,7,9,152,8,9,28,9,8,7,6,9,1,6,9,12,4,5,27
"rise",5,50,9,53,55,37,35,10,22,27,50,36,33,12,13,25,11,12,7,4,18,9,31,11,6,16,8,16,17,30,40,9,13,12,8,169,27,12,8,31,10,17,10,45,9,17,10,4,11,4
"degrees",16,13,13,66,66,57,46,12,31,19,62,51,45,21,14,30,11,20,15,12,18,12,46,25,3,33,14,16,35,41,23,20,21,18,9,27,381,20,10,36,11,20,8,13,5,12,16,5,13,4
"life",26,14,35,19,72,69,123,15,16,33,111,79,64,30,52,80,8,10,7,15,61,23,42,16,28,7,31,30,16,56,34,42,47,18,28,12,20,312,11,14,7,16,22,13,14,23,17,4,13,33
"population",2,6,9,14,48,25,27,19,16,15,69,67,72,19,15,30,2,9,3,7,40,19,6,8,3,12,4,5,2,16,12,12,27,11,9,8,10,11,242,6,8,6,4,7,17,22,31,11,15,12
"temperatures",14,9,10,38,67,36,23,12,19,18,58,44,34,19,10,28,11,21,11,10,17,11,30,19,7,26,11,22,20,28,28,8,12,20,8,31,36,14,6,175,10,18,15,6,4,13,12,4,13,7
"happen",4,4,5,16,24,20,21,10,9,11,37,31,32,9,7,17,4,12,4,5,18,11,17,9,6,12,3,9,4,24,8,5,18,10,7,10,11,7,8,10,174,8,6,3,5,8,13,7,6,3
"science",9,6,17,23,65,55,37,15,15,24,95,68,49,4,25,24,12,20,12,15,21,15,21,15,26,14,12,14,9,32,19,20,17,18,6,17,20,16,6,18,8,246,35,5,6,19,13,6,16,6
"scientists",7,10,14,20,58,51,42,13,9,10,85,48,49,6,21,42,14,14,8,10,29,11,18,15,27,13,6,12,8,30,20,6,26,15,9,10,8,22,4,15,6,35,162,11,12,22,8,1,10,12
"level",3,73,5,26,37,34,20,2,11,27,45,28,31,12,8,17,6,14,6,5,10,8,28,11,7,9,7,6,9,18,27,6,8,12,1,45,13,13,7,6,3,5,11,137,4,13,12,3,9,3
"power",3,7,17,6,34,31,24,31,2,17,47,41,49,10,14,23,3,8,6,20,19,10,8,2,9,9,8,6,3,11,18,5,16,15,6,9,5,14,17,4,5,6,12,4,160,19,16,12,23,17
"emissions",4,8,39,20,63,55,36,29,18,9,82,60,47,12,18,36,10,7,10,6,25,10,17,5,24,16,11,20,8,23,27,7,24,51,9,17,12,23,22,13,8,19,22,13,19,216,35,31,19,20
"countries",4,8,12,12,54,49,28,26,11,14,83,76,72,15,15,24,5,11,15,14,14,12,5,6,14,10,12,12,6,22,13,16,13,23,12,10,16,17,31,12,13,13,8,12,16,35,276,39,26,18
"china",2,3,10,6,26,14,12,19,4,12,33,33,29,6,4,12,3,6,10,6,4,7,6,0,4,5,6,3,0,12,3,4,7,21,4,4,5,4,11,4,7,6,1,3,12,31,39,181,13,14
"fossil",2,15,15,18,46,42,27,30,8,19,64,59,47,9,14,29,4,10,18,16,17,15,15,8,15,13,11,12,10,35,28,4,17,23,5,11,13,13,15,13,6,16,10,9,23,19,26,13,210,10
"pollution",20,2,31,5,36,29,50,11,2,29,60,49,37,13,16,42,7,7,7,8,41,5,26,4,12,6,33,24,1,32,14,19,18,12,27,4,4,33,12,7,3,6,12,3,17,20,18,14,10,125
