"","temperature","rise","degrees","climate","change","caused","time","warmed","global","warming","carbon","scientists","cooling","water","earth","petm","warmer","planet","oceans","video","land","warm","ocean","levels","ice","age","atmosphere","humans","human","people","methane","period","happened","science","species","sun","temperatures","current","life","sea","cold","natural","times","earths","plants","heat","greenhouse","cycles","hot","solar"
"cooling",51,10,11,81,49,35,44,18,107,176,35,22,309,25,106,14,22,41,20,16,11,28,15,24,66,41,38,30,20,24,12,50,10,22,6,55,33,17,20,16,11,26,21,23,15,18,22,48,14,39
"water",47,34,18,60,38,16,46,13,50,71,43,11,25,318,66,10,35,32,62,19,30,42,53,44,53,21,47,25,26,25,32,19,7,13,18,31,29,23,26,50,19,13,17,20,23,25,43,11,19,14
"earth",97,42,47,252,187,72,211,129,169,306,106,52,106,66,1145,37,78,131,62,50,54,117,50,58,177,119,92,159,85,111,27,81,30,54,48,147,61,62,180,42,50,72,57,70,49,45,50,77,45,62
"petm",25,12,3,35,21,17,33,3,33,47,27,5,14,10,37,168,10,12,11,19,10,15,11,17,16,8,20,21,12,5,7,18,10,8,7,10,19,23,20,10,3,8,16,11,2,7,9,10,8,9
"warmer",40,17,29,70,39,16,42,20,57,74,33,15,22,35,78,10,239,30,20,17,11,40,21,16,41,28,16,27,20,21,9,42,5,12,11,20,31,18,41,15,21,9,15,15,7,8,13,12,11,15
"planet",54,18,10,110,91,27,79,36,89,134,59,23,41,32,131,12,30,513,21,33,20,43,17,25,66,40,42,89,49,73,14,35,16,26,38,60,23,25,89,22,27,33,30,24,22,23,22,22,19,43
"oceans",37,23,12,46,27,19,32,18,42,67,35,13,20,62,62,11,20,21,207,14,26,34,44,29,33,17,40,16,14,15,15,14,7,14,10,20,26,15,37,21,11,7,9,25,14,18,18,7,9,16
"video",44,6,8,72,51,23,56,17,64,91,37,17,16,19,50,19,17,33,14,416,7,18,14,19,27,16,26,26,20,28,11,28,16,13,17,19,22,26,22,8,5,17,20,14,13,15,12,18,5,21
"land",22,26,6,48,33,16,59,12,30,46,23,2,11,30,54,10,11,20,26,7,209,22,31,24,49,15,14,27,14,23,6,11,4,11,8,8,14,10,35,36,15,11,8,15,8,8,7,12,9,6
"warm",42,15,25,72,45,25,64,26,61,87,35,9,28,42,117,15,40,43,34,18,22,356,31,29,71,52,36,33,25,24,12,91,7,16,11,32,31,32,31,23,39,15,19,17,18,18,23,18,20,19
"ocean",40,19,16,40,36,16,33,14,41,58,37,6,15,53,50,11,21,17,44,14,31,31,232,26,40,21,29,11,9,12,12,19,9,12,5,18,25,16,30,30,15,7,9,17,7,13,13,13,13,6
"levels",48,44,10,66,48,17,48,5,57,76,41,10,24,44,58,17,16,25,29,19,24,29,26,239,65,28,36,25,19,17,15,25,4,11,7,18,37,18,38,63,9,16,22,28,18,11,29,19,9,17
"ice",81,42,33,158,104,50,119,44,156,237,58,38,66,53,177,16,41,66,33,27,49,71,40,65,706,378,52,56,44,68,10,78,31,35,14,47,50,44,53,53,44,28,45,38,23,26,30,46,25,33
"age",48,16,20,92,69,33,79,36,91,149,30,27,41,21,119,8,28,40,17,16,15,52,21,28,378,431,24,35,27,50,3,58,21,21,10,33,30,32,36,17,33,21,31,23,14,14,14,28,16,26
"atmosphere",59,23,16,88,52,24,50,12,71,100,120,19,38,47,92,20,16,42,40,26,14,36,29,36,52,24,337,36,16,24,29,28,14,25,7,43,37,21,45,18,10,19,23,44,34,30,50,21,14,26
"humans",38,22,16,156,119,55,83,25,118,151,51,20,30,25,159,21,27,89,16,26,27,33,11,25,56,35,36,575,57,61,9,30,18,20,48,33,26,28,75,18,18,52,33,28,21,15,15,17,22,18
"human",28,27,18,121,101,48,70,23,68,98,31,13,20,26,85,12,20,49,14,20,14,25,9,19,44,27,16,57,342,44,9,20,11,24,25,22,29,25,48,18,12,41,22,14,11,11,11,9,10,13
"people",22,21,18,126,100,25,76,18,89,123,35,30,24,25,111,5,21,73,15,28,23,24,12,17,68,50,24,61,44,549,7,20,26,37,25,29,22,21,51,23,27,33,24,18,20,18,7,16,16,29
"methane",14,8,8,23,15,10,20,5,23,41,41,6,12,32,27,7,9,14,15,11,6,12,12,15,10,3,29,9,9,7,159,8,5,9,3,15,10,8,14,13,3,6,13,10,7,10,30,4,7,11
"period",46,13,22,86,61,30,98,33,72,137,31,16,50,19,81,18,42,35,14,28,11,91,19,25,78,58,28,30,20,20,8,340,16,20,12,30,43,31,27,19,26,17,22,21,8,12,16,18,14,25
"happened",15,3,10,40,30,13,50,9,46,54,17,6,10,7,30,10,5,16,7,16,4,7,9,4,31,21,14,18,11,26,5,16,215,12,6,11,5,12,17,4,6,5,20,12,10,5,6,7,2,7
"science",31,15,11,95,69,19,35,11,59,73,28,24,22,13,54,8,12,26,14,13,11,16,12,11,35,21,25,20,24,37,9,20,12,297,4,20,24,22,18,11,6,12,14,19,5,7,16,12,8,16
"species",12,9,6,47,46,8,56,5,29,48,14,2,6,18,48,7,11,38,10,17,8,11,5,7,14,10,7,48,25,25,3,12,6,4,213,6,7,16,42,11,5,17,5,14,9,6,3,8,7,7
"sun",54,14,13,112,73,27,52,19,59,117,38,22,55,31,147,10,20,60,20,19,8,32,18,18,47,33,43,33,22,29,15,30,11,20,6,408,27,19,32,10,15,16,19,53,7,35,28,58,18,85
"temperatures",61,34,21,71,48,27,57,11,86,82,28,14,33,29,61,19,31,23,26,22,14,31,25,37,50,30,37,26,29,22,10,43,5,24,7,27,260,17,39,21,18,18,26,29,13,15,23,13,13,20
"current",37,19,15,65,47,19,54,14,64,95,18,11,17,23,62,23,18,25,15,26,10,32,16,18,44,32,21,28,25,21,8,31,12,22,16,19,17,228,25,18,13,18,10,20,8,8,14,20,10,11
"life",34,19,22,104,100,27,93,28,75,105,50,17,20,26,180,20,41,89,37,22,35,31,30,38,53,36,45,75,48,51,14,27,17,18,42,32,39,25,495,19,18,26,28,31,31,17,15,14,21,15
"sea",31,49,14,55,35,14,38,7,43,55,17,5,16,50,42,10,15,22,21,8,36,23,30,63,53,17,18,18,18,23,13,19,4,11,11,10,21,18,19,199,8,10,7,12,9,9,15,15,14,9
"cold",28,10,13,45,36,13,31,15,40,60,13,6,11,19,50,3,21,27,11,5,15,39,15,9,44,33,10,18,12,27,3,26,6,6,5,15,18,13,18,8,184,13,17,2,6,18,7,12,32,10
"natural",24,11,9,83,76,24,30,11,55,82,24,7,26,13,72,8,9,33,7,17,11,15,7,16,28,21,19,52,41,33,6,17,5,12,17,16,18,18,26,10,13,229,19,25,8,8,12,20,9,11
"times",30,11,12,53,41,24,47,21,38,55,27,11,21,17,57,16,15,30,9,20,8,19,9,22,45,31,23,33,22,24,13,22,20,14,5,19,26,10,28,7,17,19,205,16,9,12,18,11,9,15
"earths",43,23,15,87,54,22,49,8,52,71,34,11,23,20,70,11,15,24,25,14,15,17,17,28,38,23,44,28,14,18,10,21,12,19,14,53,29,20,31,12,2,25,16,238,6,18,20,32,5,27
"plants",20,11,4,28,20,9,30,2,22,44,53,6,15,23,49,2,7,22,14,13,8,18,7,18,23,14,34,21,11,20,7,8,10,5,9,7,13,8,31,9,6,8,9,6,232,12,11,5,4,8
"heat",20,10,10,38,23,16,36,7,28,41,25,12,18,25,45,7,8,23,18,15,8,18,13,11,26,14,30,15,11,18,10,12,5,7,6,35,15,8,17,9,18,8,12,18,12,160,21,5,15,12
"greenhouse",34,12,13,50,25,20,31,8,43,58,34,16,22,43,50,9,13,22,18,12,7,23,13,29,30,14,50,15,11,7,30,16,6,16,3,28,23,14,15,15,7,12,18,20,11,21,174,13,7,20
"cycles",32,15,7,68,47,14,27,10,44,72,22,12,48,11,77,10,12,22,7,18,12,18,13,19,46,28,21,17,9,16,4,18,7,12,8,58,13,20,14,15,12,20,11,32,5,5,13,194,10,46
"hot",31,3,21,40,23,8,31,5,34,31,8,6,14,19,45,8,11,19,9,5,9,20,13,9,25,16,14,22,10,16,7,14,2,8,7,18,13,10,21,14,32,9,9,5,4,15,7,10,174,9
"solar",33,13,5,61,42,20,33,6,40,75,27,14,39,14,62,9,15,43,16,21,6,19,6,17,33,26,26,18,13,29,11,25,7,16,7,85,20,11,15,9,10,11,15,27,8,12,20,46,9,253
