"","desert","nature","change","life","people","time","natural","carbon","idea","deserts","green","live","global","warming","water","food","earth","elephants","land","talk","plant","planet","climate","human","guy","video","cattle","desertification","animals","wrong","hope","science","humans","meat","grazing","trees","grow","soil","solution","feed","animal","plants","savory","grass","holistic","eat","livestock","management","methane","cows"
"land",216,135,191,108,347,244,130,124,103,101,107,116,82,37,235,146,103,132,1494,98,148,112,185,128,45,129,277,157,466,72,92,117,125,90,269,114,175,280,116,166,144,187,123,247,145,123,248,193,67,91
"talk",43,42,110,36,138,74,34,38,40,41,21,29,53,17,37,29,39,40,98,711,28,34,103,45,29,54,49,90,68,33,50,58,36,51,61,29,24,56,39,25,26,35,74,47,77,24,69,72,23,25
"plant",74,29,69,79,110,84,34,80,63,43,45,29,41,23,101,66,49,25,148,28,469,58,81,32,11,20,91,55,125,22,49,24,42,46,53,128,99,145,30,61,50,135,19,106,23,45,62,24,29,20
"planet",49,68,123,73,162,73,56,68,32,59,64,46,52,46,65,55,118,56,112,34,58,715,134,72,37,40,50,48,107,35,38,42,92,52,38,47,40,51,52,27,30,71,32,39,8,34,63,17,30,35
"climate",102,69,1105,79,262,132,112,157,55,125,113,55,191,115,124,89,161,65,185,103,81,134,1469,109,39,96,97,166,140,69,48,86,104,65,100,89,51,127,92,43,49,102,89,54,71,47,127,85,67,62
"human",31,89,126,47,122,99,71,45,25,37,26,58,56,38,60,62,77,75,128,45,32,72,109,550,14,53,45,41,138,38,24,78,99,35,47,42,25,81,65,26,83,46,37,45,52,30,62,88,32,33
"guy",21,23,41,12,64,31,15,18,19,17,12,13,22,16,24,12,20,138,45,29,11,37,39,14,462,20,33,23,29,40,11,20,14,13,19,7,13,17,25,6,12,13,10,22,7,12,26,10,18,15
"video",55,30,126,31,122,98,28,34,47,21,43,56,28,11,54,44,35,80,129,54,20,40,96,53,20,757,61,55,116,39,44,53,54,46,57,27,32,81,71,44,53,40,44,57,63,37,67,64,35,42
"cattle",110,58,91,38,181,143,68,74,86,27,42,27,57,30,94,91,42,60,277,49,91,50,97,45,33,61,826,93,199,37,55,37,60,86,174,47,94,176,52,120,48,100,72,200,62,108,109,59,110,102
"desertification",77,55,151,46,126,70,52,46,32,54,39,34,121,31,74,47,43,70,157,90,55,48,166,41,23,55,93,646,109,30,46,39,63,28,99,61,31,86,64,29,40,49,46,43,66,23,112,76,28,25
"animals",155,168,173,109,290,207,130,93,122,59,78,121,58,27,168,167,85,159,466,68,125,107,140,138,29,116,199,109,1419,81,82,100,181,143,254,91,162,253,133,179,180,213,108,240,90,173,214,111,122,107
"wrong",26,34,73,38,108,69,31,42,31,21,18,17,17,11,31,18,28,110,72,33,22,35,69,38,40,39,37,30,81,538,22,47,35,28,42,12,19,44,43,17,34,36,52,22,31,24,52,39,26,23
"hope",54,32,57,22,136,83,14,23,57,17,14,25,30,12,21,24,27,24,92,50,49,38,48,24,11,44,55,46,82,22,444,31,12,12,27,17,49,65,27,48,14,53,39,49,36,19,30,42,15,8
"science",27,56,117,35,109,100,28,57,32,23,19,39,58,34,41,36,44,76,117,58,24,42,86,78,20,53,37,39,100,47,31,538,54,24,65,18,14,83,55,8,68,32,69,35,88,13,43,109,29,23
"humans",41,105,128,43,126,87,59,37,32,41,32,78,42,23,51,62,88,76,125,36,42,92,104,99,14,54,60,63,181,35,12,54,593,53,50,31,37,75,65,37,78,66,34,51,49,74,68,60,12,42
"meat",23,37,62,29,139,39,40,42,27,26,21,29,21,10,44,77,35,30,90,51,46,52,65,35,13,46,86,28,143,28,12,24,53,527,69,23,32,35,45,60,46,35,47,85,26,169,104,19,44,60
"grazing",63,69,95,45,117,107,82,89,41,30,25,25,41,15,94,80,27,39,269,61,53,38,100,47,19,57,174,99,254,42,27,65,50,69,792,31,51,132,55,65,75,68,132,134,194,59,139,152,60,64
"trees",78,30,70,37,83,50,45,61,15,46,48,27,30,20,99,33,47,30,114,29,128,47,89,42,7,27,47,61,91,12,17,18,31,23,31,451,80,84,22,29,19,84,19,80,13,35,43,15,30,26
"grow",98,30,47,33,135,84,37,44,60,34,33,45,20,15,103,71,35,20,175,24,99,40,51,25,13,32,94,31,162,19,49,14,37,32,51,80,447,140,24,90,43,157,18,131,23,46,51,23,14,49
"soil",120,68,134,77,176,156,66,165,74,41,51,71,63,25,184,102,46,47,280,56,145,51,127,81,17,81,176,86,253,44,65,83,75,35,132,84,140,795,75,93,99,161,65,181,91,65,124,94,103,56
"solution",31,63,119,42,121,80,41,58,28,29,32,57,37,26,41,45,33,100,116,39,30,52,92,65,25,71,52,64,133,43,27,55,65,45,55,22,24,75,575,26,57,34,38,23,47,27,66,52,27,28
"feed",70,29,42,22,143,83,37,33,65,19,16,27,15,9,54,59,20,13,166,25,61,27,43,26,6,44,120,29,179,17,48,8,37,60,65,29,90,93,26,408,35,75,35,138,25,64,72,14,43,65
"animal",28,50,78,36,87,77,37,37,17,21,7,54,22,1,67,66,21,58,144,26,50,30,49,83,12,53,48,40,180,34,14,68,78,46,75,19,43,99,57,35,402,51,46,64,62,57,64,71,31,31
"plants",109,50,78,71,158,105,66,112,63,54,73,42,42,25,144,70,84,32,187,35,135,71,102,46,13,40,100,49,213,36,53,32,66,35,68,84,157,161,34,75,51,596,28,122,30,55,67,35,34,36
"savory",33,52,92,34,127,73,38,61,27,33,26,18,34,15,54,48,25,40,123,74,19,32,89,37,10,44,72,46,108,52,39,69,34,47,132,19,18,65,38,35,46,28,669,59,109,34,75,111,27,29
"grass",91,64,43,40,147,120,54,82,79,38,36,39,28,9,130,87,35,41,247,47,106,39,54,45,22,57,200,43,240,22,49,35,51,85,134,80,131,181,23,138,64,122,59,703,55,132,109,52,93,116
"holistic",18,32,94,31,102,107,33,50,21,10,9,41,63,8,54,39,10,35,145,77,23,8,71,52,7,63,62,66,90,31,36,88,49,26,194,13,23,91,47,25,62,30,109,55,456,26,67,327,29,27
"eat",44,43,49,32,137,44,38,36,32,17,21,42,15,10,56,92,32,26,123,24,45,34,47,30,12,37,108,23,173,24,19,13,74,169,59,35,46,65,27,64,57,55,34,132,26,532,98,19,44,84
"livestock",56,85,114,54,150,80,74,84,38,49,38,37,65,31,95,93,34,65,248,69,62,63,127,62,26,67,109,112,214,52,30,43,68,104,139,43,51,124,66,72,64,67,75,109,67,98,813,79,96,54
"management",24,34,106,37,110,109,37,44,29,19,14,49,66,6,64,38,12,43,193,72,24,17,85,88,10,64,59,76,111,39,42,109,60,19,152,15,23,94,52,14,71,35,111,52,327,19,79,531,17,16
"methane",21,36,66,26,59,40,49,122,41,11,20,20,51,33,46,46,32,22,67,23,29,30,67,32,18,35,110,28,122,26,15,29,12,44,60,30,14,103,27,43,31,34,27,93,29,44,96,17,447,98
"cows",36,39,51,18,90,37,52,56,38,8,15,28,21,13,55,59,24,31,91,25,20,35,62,33,15,42,102,25,107,23,8,23,42,60,64,26,49,56,28,65,31,36,29,116,27,84,54,16,98,472
