"comment_author","comment_date","comment_text"
"PsycoPotatoSam","2023-02-10T22:17:09Z","i remember being in 5th grade, watching videos on global warming and climate change, it made me rethink what i did and id go out and pick up trash on the playground and around school, i used to get picked on for it. and told i was over reacting. now i wish i had gotten more people to help me and had spread the news more. i wish i wasnt the only one that took it seriously"
"SSG Williams","2023-02-09T18:22:34Z","It’s someone else’s problem, keep making my bourbon 🥃"
"Dinah Dinah","2023-02-09T05:11:20Z","My college friend used to live in a coastal area he died due to flood and some morons say climate change isn't real"
"Deboptical Illusion","2023-02-08T21:54:21Z","Obey!!!!!"
"Deboptical Illusion","2023-02-08T21:53:42Z","Super sad that billionaires are exploiting the ignorance of youth with false “facts”. Go ahead, be a vegan with zero knowledge about how that process is far worse for the planet. Just listen to your delusional democratic politicians and CEO’s and obey. OBEY"
"Liam O'Brien","2023-02-07T01:40:26Z","@15:38: And we blame governments... The Economist showing its true colours."
"Lyndon Barsten","2023-02-06T01:25:44Z","This doesn't include the feedbacks. It's much too underplayed"
"Steven Hull","2023-02-05T09:35:38Z","It's the sun and our earth's axis which determines the weather on planet earth. Certain companies and individuals are making a lot of money from the biggest 'green hoax' of human history. One thing which is certain for our future. There WILL be another ICE AGE."
"Shanice-Marie","2023-02-03T06:57:54Z","“If global warming were to increase by 3degreeswhay would the world look like ?”

My brain: AC EVERYWHERE!!!!😆


Jokes"
"Glenn Hancock","2023-02-03T04:03:33Z","Do horses cause more global warming than  gas powered cars? If they cause less global warming than cows or cars , then we could go back to the old days of horse and buggy for transportation for short distances to the store or to work or to school and back home again. Evey body could replace their garage with a stable for two horses or one and grow hay in their back yard instead of grass that needs to be mowed ,or replace parking lots with horse stables."
"74KU","2023-02-02T20:36:43Z","What's the big deal? We all just need to get used to ""new normal"""
"5rings16","2023-02-02T12:01:54Z","The only thing that is certain is that we are heading towards the next ice age!"
"5rings16","2023-02-02T12:00:07Z","Using Bangledesh as an example is silly! They have so many issues not caused by global warming!"
"Kevin Hadler","2023-02-01T22:29:52Z","The planets only overpopulated but people like Bill Gates stop buying up Our trying to make us eat bugs I like beef I like chicken I do not like cockroaches you a fine I'm Tasty bill but I don't"
"Christopher Detter","2023-01-31T01:30:09Z","I see no doubt that climate change is real and very little doubt that it is associated human activity. As I set my thermostat, it dawned on me that I don't know if the obvious contribution of building heat has been considered, and how it compares to the effect of greenhouse gases like CO2. The contribution of building heat is obviously huge (think of the forests of skyscrapers in large cities), and its steep contribution would correspond to the turn of the 19th century (as would the greenhouse effect). Building heat contribution is obviously NOT an essentially thermodynamically--neutral phenomenon like air conditioning. The need to heat indoors in winter exists in huge swaths of landed areas, mostly in the northern hemisphere. Insulation slows the rate of heat dissipation and reduces the total amount of heat needed, but it does not eliminate heat loss entirely. I'm not an expert and may have missed coverage of this aspect of climate change, but nowhere have I heard of any scientific investigation comparing heat added by greenhouse gas effects vs heat added by the sum of all indoor space heating - a heretofore glaring oversight. Even if we manage to eliminate all artificial discharge of CO2 into the atmosphere, would we really slow down climate change? By how much? Would it be better to invest money in better insulation systems?"
"NC","2023-01-29T22:54:03Z","TOTAL PROPOGANDA"
"Trevor Phillips","2023-01-29T22:14:41Z","It's still cold in some places they need to speed this up"
"George Levin","2023-01-28T22:05:00Z","Just 12,000 years ago there was a sheet of ice a mile thick sitting on the state of Indiana! Climate change is totally normal."
"Aaron sky","2023-01-28T17:39:40Z","Ah, the climate change myth."
"Leopard Tree","2023-01-28T17:27:43Z","Okay so i have lowkey no real understanding of global warming but my theory is
We by causing global warming make the earth warming but the earth will self control itself by making it colder. It eventually become too much and the earth like a earthquake will make it extremely cold aka ice age. That’s why people say its not real bc they think the world will turn warmer when in reality its turning colder because it’s turning warmer. Another thing is water or anything warm in general turns cold over time so what do you think all that warm energy turns into? More warm energy? Theoretically you would assume it makes it endlessly stay warm like adding wood to a fire or leaving a stove on but since the world has nights the coldness of the night might help cool it too making some of the warm energy turn to cool energy."
"Mona Ped","2023-01-28T16:57:05Z","inevitable now. it will grow by 1c every 15 years"
"Jakub Ś","2023-01-28T11:12:30Z","Jeśli byśmy dali naturze dłuższy czas do adaptacji to w ciągu 200 - 500 lat natura się dostosuje do nowej temperatury tyle w tym jest pies pogrzebany że nie dość że nie dajemy czasu do dostosowania się to jeszcze dodatkowo niszczymy cały ziemski ekosystem na zlecenie kilku ludzi którzy mają 99% wszystkich pieniędzy świata, 
Jeśli kapitalizm nie zmniejszy wyzysku 99,99% wszystkich ludzi na świecie to ten system będzie musiał upaść albo my jako gatunek wymrzemy razem z całą fauną i florą."
"Rick Thomas","2023-01-28T06:43:05Z","I have have been offered a electric car and thinking about getting it even if it is a demo car very nice"
"rui dias","2023-01-28T01:51:30Z","We need to reforest the world, eat  more plant based foods and reduce the amount of plastic we use, hopefully then we won't suffer as much with climate change as we suffer now."
"qa","2023-01-28T00:06:42Z","rising sea levels and desertification rhyme"
"The Domestead","2023-01-27T18:25:37Z","Coldest ever consecutive 5 days here."
"Vinzzoy","2023-01-27T15:10:47Z","This 16mins. video is enough to convey that our Earth is changing drastically. We cannot go back nor can get a chance to change it. Were already at this age of global warming due to climate change. This is it, lets accept our fate that we are humans the most vicious living things on this planet.."
"Mohammad Ali","2023-01-27T06:47:23Z","Talk about Ice Age, not Global Warming 😜👍"
"J M C Caplan","2023-01-26T07:49:05Z","Global warming is winning and this is just the beginning
Think globally, act locally .
Reduce your carbon footprint 
Every dollar you spend is a vote 
Its time we behave like adults 
Its time we face the facts and take responsibility
Please
Act and Vote responsibly every day before its to late"
"william nicholson","2023-01-26T05:20:37Z","If this climate change threat was serious banks would not be loaning money for ocean. Front property."
"william nicholson","2023-01-26T05:16:18Z","I wonder if they are aware that 9000 years ago we were around this average temp higher during the temperature rise event that ended the last galaciation period.  This channel is sensationalistic propaganda."
"Jabada the HUT","2023-01-25T16:55:26Z","At the end of the day, we will all be long gone, and the things that environmentalists come up with to fight climate change will do nothing other than increase taxes and spend money."
"Gabriele Miller","2023-01-25T03:32:28Z","During the Dinosaur 🦕 times it was a lot warmer and the animals and plants thrived ... We are still here ...bunch of Fear mongering 🧐🙄🧐"
"John Braggins","2023-01-25T00:22:02Z","There is no global warming. Massive con."
"Lori Mantie","2023-01-24T11:09:50Z","Well maybe the Billionairs should stop geoengineering the weather. This is not global worming, it is (global) climate ""controle"" all pattens for the weather modification devices are on line. Avalible to the public. Chem trails via our military ( the ones who are supposed to save us) is dumping all kinds of poisons, heavy metals graphien... yup the globe will cool. Then the temperature will sore because all that heat get trapped hear on earth. All man made, all of it. Storms,  fires, freez. I've witnessed ""them"" pushing the polar vortex south via warming events (satelite). Give me a break. Stop lieing"
"Luke Philby","2023-01-24T07:24:15Z","Theres a 3degC difference between my lounge and kitchen. My kitchen is doomed"
"Greg Rodgers","2023-01-23T23:02:20Z","Go lecture the big corporations, oil company’s, the government not spreading fear like the media"
"FREEDOM SPORTS","2023-01-23T22:35:42Z","During last summer 2022 temperature of the water in  all island of Acores was 25 celsius..., its NOT normal...., USUALY 23/24 celsius......., shark whale was seen in 3 islands...., !!!!"
"Skipper x","2023-01-23T13:40:54Z","You are like Al Gore. You use visuals to lie to us
 You show cities shrouded in a haze, but CO2 is colorless. You can't see it. What you show are genuine pollutants which are not necessarily greenhouse gases. You are gaslighting."
"boss zombie ","2023-01-22T16:12:07Z","I don't believe global warming"
"ytrebiLeurT","2023-01-22T11:32:29Z","So what?"
"Harris Pilton","2023-01-22T06:47:35Z","we are on the way to 4 degrees ;D"
"Sprinter Shepherd","2023-01-22T03:57:22Z","Global warming is winning and this is just the beginning
Think globally, act locally .
Reduce your carbon footprint 
Every dollar you spend is a vote 
Its time we behave like adults 
Its time we face the facts and take responsibility
The greatest tragedy is we can see it coming and hardly act to stop it 
Please Act and Vote responsibly every day before its to late"
"Hew W","2023-01-22T02:03:46Z","I was looking at this video for them to show how the world would look like when it is 3c warmer, all i got was a overdramatized emotional focus ""documentary"" about certain peopls life today. Sure it is sad, but the videos title is still extremly misleading."
"(F.R.E.E)","2023-01-21T15:58:34Z","🆓😂
✌️👔🍿"
"Ministry of Truth","2023-01-21T01:09:41Z","We'll have to reduce the world population from 8 billion to 500 million in order to reach 'net zero'.  There's NO other way.  Who wants to volunteer to be 'climate euthanized'?"
"Paul Mcdonnell","2023-01-20T21:44:43Z","More people,more problems. Stop breeding"
"Woogy 1","2023-01-20T21:44:06Z","Greenland ice core studies show rise and fall in global temperatures always happen but the big mistake the World is making is that CO2 is the cause. The data shows that CO2 levels rise and fall trailing temperature rise and fall by hundreds of years. The conclusion is CO2 levels are an effect of temperature change not a cause. This is really important. The World is being destroyed based on bad science. It really isn't a settled issue and when political agendas drive solutions the World will suffer."
"QuentinPotter007","2023-01-20T20:56:34Z","Climate change has been happening back in the when  dinosaurs roam ! so it's  human climate change is bull____ !"
"Andy & Scar BigFoot Territory Investigators","2023-01-20T10:16:40Z","Wow thx ❤️✌️🧘🏻‍♂️"
"SJ 93","2023-01-20T07:50:29Z","Fear mongering. The climate always changes."
"Ray Bilverstone","2023-01-20T05:07:47Z","But we still are not bothered about doing anything about it are we they talk the talk but do nothing.I think we have crossed the line and that it’s too late we’ve had years to do something about it but we’ve done sod all😢."
"Dread Storm","2023-01-20T03:35:17Z","Nice scare tactics."
"Joanna G","2023-01-20T03:31:14Z","Go vegan... to stop deforestation of the carbon storing rain forests, to minimize methane (a worse green house gas than burning carbon creates), to slow down climate change and put an end to world hunger"
"DominionMovementDotCom","2023-01-19T18:31:21Z","a vegan world is a necessity"
"Airbeast Acm","2023-01-19T07:28:45Z","Methane from arctic esas region  is already poping up from the sea bed, this ends by 2050 or sooner."
"Crypto Shaman","2023-01-19T04:18:13Z","Freeman Dyson has some interesting thoughts on climate change"
"MarcoDiazGrey","2023-01-19T02:18:30Z","SOON MANKIND WILL KNEEL BEFORE DARKSIDE! honestly we think the planet cares about what we do. This big ole ball will do what it wants. We are just riding it."
"Galaxy Eyes","2023-01-18T23:53:03Z","I cant with that dudes messed up beard cut"
"David Sperling","2023-01-18T22:57:22Z","It’s sad to think in our modern age we will see nations disappear, but not because an empire consumes them, but because of rising sea levels, or desertification."
"Kiefer Waight","2023-01-18T20:30:01Z","Ok I don't want to hear about your city being hot while you are wearing a giant blanket around your whole body 😊"
"Greg James","2023-01-18T18:27:51Z","The Little Ice Age (LIA) was a period of regional cooling, particularly pronounced in the North Atlantic region.[2] It was not a true ice age of global extent.[3] The term was introduced into scientific literature by François E. Matthes in 1939.[4] The period has been conventionally defined as extending from the 16th to the 19th centuries,[5][6][7] but some experts prefer an alternative timespan from about 1300[8] to about 1850.

The Medieval Warm Period (MWP), also known as the Medieval Climate Optimum or the Medieval Climatic Anomaly, was a time of warm climate in the North Atlantic region that lasted from c. 950 to c. 1250."
"Allan Cameron","2023-01-18T08:39:59Z","Sorry, I don’t buy the global warming theory. There is no concrete evidence. This will be debated till everybody is blue in the face."
"Former Marine","2023-01-18T07:20:08Z","This is propaganda. Go watch, The Great Global Warming Swindle! We are going to go thru a global cooling. Just wait and see for yourself."
"Brett Vidmar","2023-01-18T03:26:31Z","For that, all I have to do is look outside now."
"John 3:16","2023-01-18T01:12:07Z","Revelation 11:18
18 And the nations were enraged, and Your wrath came, and the time came for the dead to be judged, and the time to [a]reward Your bond-servants the prophets and the [b]saints and those who fear Your name, the small and the great, and to destroy those who destroy the earth.”"
"David Corbett","2023-01-17T21:26:32Z","The planet was 8 degrees warmer for millions of years and very healthy as all rain forest. So it can be 4 degrees warmer and healthy as rain forest by equator and tropical north n south of that then semi tropical north n south of that then regular north n south of that then short mild winter north n south of that as balanced healthy planet to have 20 billion people spread out on and a healthier planet then now. Duh"
"Laurie Lee","2023-01-17T13:11:55Z","This happens every 12, 000 goes up actually up to anywhere up to 12 degrees, core displacement started in 1976, pole excursion."
"new mobile","2023-01-17T05:27:04Z","were still in the ice age"
"Alan Hobbs","2023-01-17T04:13:03Z","Aren't we supposed to be underwater already? Why is it called climate change nowadays? What happened to global warming??"
"A3Kr0n","2023-01-17T01:25:43Z","I wish people would quit saying there's still time. I've been hearing that for over 50 years now and we're still on track for collapse soon. Scientists gave us 50 years 50 years ago. Time is up."
"Paul Pachis","2023-01-16T22:10:31Z","Climate changes all the time...and climate change is exaggerated in order push through WEF policies to control society.  Liberal progressives try to create fear to control the population. Don’t be sheep and follow the money behind climate change ie- Bill Gates, Blackrock, liberal, Democrats, WEF mandates “you’ll own nothing and be happy”etc.  Educate yourself people and don’t believe everything you see on television.  Get the facts and always follow the money. Thanks and vote conservative and understand the Bible."
"lionel de Mun","2023-01-16T18:51:53Z",""" Disaster"" for whom ? The human predators. So that's a blessing for Mother Nature!"
"Serge","2023-01-16T14:38:16Z","Nice"
"Sv LittleGem","2023-01-16T02:02:26Z","l live in new south wales Australia.
The season is summer and we are reguly seeing 30 ° c ocuring reguly.12v Refigaration does not work propaly and portable air conditioners are not capable to keep cooling the air properly. The sea and water and tap water is wormer. 
I belevie we are on the way up to an 3° world.
Gerard."
"Ed Bouhl","2023-01-15T08:24:00Z","Well,  at least the American Republicans are still anti-vaccine. Hopefully the next virulent disease outbreak cleans out most of them. Then maybe the U.S. will be able to enact more pro-climate changes."
"Henry Knetsar","2023-01-14T16:26:39Z","Oh, and by all means, Let's prevent the possibility of a better life for the people living outside the developed world."
"Jonathan Marrufo","2023-01-14T06:59:04Z","Nothing lasts forever.  Time cannot be stopped."
"Jaime González","2023-01-14T03:26:25Z","I don't wanna sound terrifying but listen, people. Don't have anymore children."
"carlita pacita","2023-01-14T00:27:04Z","cant wait for Mother Nature to take its revenge and get rid of the rat races of humans. It is too many of us on this tiny planet and 95percent are egoistical,, mean, ignorant and useless. Let mother nature process to a well deserved purge that could see all these rats gone."
"texaslorraine","2023-01-13T23:14:43Z","You should go back several thousand years ago and see what 18 degrees warmer looks like. Lol"
"Limey","2023-01-13T18:02:58Z","In the last 20 years mankind has emitted more co2 into the atmosphere than in all its previous history, That has yet to be taken into consideration,"
"self preservation society ","2023-01-13T16:40:15Z","Climate change is back door fasciam, lefties storm troopers"
"Hai.","2023-01-13T06:37:02Z","3 degree increase by 2100 is inevitable. Do what you can to protect you and your family when the time comes."
"Debra Buckley","2023-01-13T02:35:39Z","check out geoengineering  .they are causing climate change ."
"Thomas Tompkins","2023-01-13T00:15:05Z","Also as for the rising sea levels check out plymouth rock that rock has been there for 200 years and still the water is at the same level as it always has been for 200 years. You can use hollywood magic and stress all the panic in the world about climate change but you cannot fake what you can actually see with your own eyes."
"mcrick","2023-01-12T18:39:18Z","Doomsdayers Baloney"
"Ian Carpenter","2023-01-12T01:38:47Z","isnt it amazing no matter what the state or situation ones country is in...drought famine heat floods poverty...they keep having children..."
"spideken 2","2023-01-11T19:49:06Z","This is insane.."
"Astrologer Climate Witness","2023-02-13T14:22:39Z","Any climate scientist will agree and explain even more to you about past climate changes... That the climate changing IS NOT THE POINT... it is the SPEED AT WHICH the climate is changing... that is the ISSUE... go read some more about how adaptions through evolution... of animals and plants, cannot HAPPEN when the change of climate happens THIS FAST... AND for crying out loud ... there were not 8 billion humans, depending on a ""just in time"" delivery system for food and such. Our economic system, is dependent on humans being able to grow food ON A MASS SCALE and get it to distances far and away... there are other DISRUPTIONS... that will be of great significance, due to ""too fast "" climate changes ...."
"John Harrison","2023-02-13T07:13:04Z","Do you know what volcanic events have killed the most animals? The answers and mechanisms might surprise you."
"FuckOffShitTube","2023-02-13T16:08:33Z","@John Harrison three degrees of warming has not occured and if it did it would be because of natural processes and not man made. Nothing inconsistent about that Bodine."
"John Harrison","2023-02-13T07:13:49Z","You understand how this sentence isn't logically consistent, don't you?"
"John Harrison","2023-02-13T07:16:35Z","We've already hit 2 key tipping points (methane hydrate is melting and the amazon is functionally past 25% cut which means it's going to disappear), there's literally nothing we can do to stop what's about to happen, things will get worse until the AMOC completely shuts down and the ice caps re-freeze. This is why netflix made Don't Look Up."
"Hosni Mubarak","2023-02-10T20:19:03Z","Wow!"
"John Harrison","2023-02-13T07:22:25Z","@Hosni Mubarak I find that when you look at them like creationists who deny obvious reality because to accept it would mean abandoning their entire framework makes a lot more sense than rational informed opposition. They can't admit there's a threat they can't shoot at. They can't admit that a handful of unelected families decided what cars run on, and how power is made over 100 years ago. Accepting climate change is real means ending the illusion of the rugged individual, and recognizing the need for collective action and that's too horrific for them to even entertain, so they act like Sartre's anti-semite. Sartre: Never believe that anti-Semites are completely unaware of the absurdity of their replies. They know that their remarks are frivolous, open to challenge. But they are amusing themselves, for it is their adversary who is obliged to use words responsibly, since he believes in words. The anti-Semites have the right to play. They even like to play with discourse for, by giving ridiculous reasons, they discredit the seriousness of their interlocutors. They delight in acting in bad faith, since they seek not to persuade by sound argument but to intimidate and disconcert. If you press them too closely, they will abruptly fall silent, loftily indicating by some phrase that the time for argument is past."
"Hosni Mubarak","2023-02-07T23:15:57Z","Are you talking about the Milankovitch cycles?"
"Nathan Pollard","2023-02-04T23:32:09Z","Search, The Guardian france-streets-working-horses-bin-collection-schools"
"5rings16","2023-02-11T00:30:42Z","@Don Larson I have soundly defeated him and the proof is everywhere! The world is not in need of a solution to a problem that doesnt exist!"
"5rings16","2023-02-11T00:29:30Z","@Don Larson I do! Im actually a doctor! Im in the sciences! The rush to ""cure"" global warming has long since been discredited!"
"Don Larson","2023-02-10T23:40:05Z","@5rings16 You should just stop replying to Hosni. You clearly have no idea of how science and scientific debate works."
"5rings16","2023-02-10T22:44:28Z","@Hosni Mubarak The epa is getting sued all over the country right now by the states and companies."
"5rings16","2023-02-10T22:43:34Z","@Hosni Mubarak They havnt and wont! The Global warming caused by human advocates have been defeated! msn news had an article on it today! So, Im right! Global warming is so over!"
"Nathan Pollard","2023-02-04T23:23:37Z","I'm no expert, either, but I wouldn't be so concerned about the heat from indoor heating, more the emissions from indoor heating (which, of course, vary, according to the energy source)."
"ArtWorld_create","2023-02-11T05:40:57Z","You obviously didn’t do any research otherwise you would know that climate change includes cold weather. This is why we don’t call it global warming."
"John Harrison","2023-02-13T07:25:14Z","I want you to read this paragraph and tell me if you feel personally attacked:
Never believe that anti-Semites are completely unaware of the absurdity of their replies. They know that their remarks are frivolous, open to challenge. But they are amusing themselves, for it is their adversary who is obliged to use words responsibly, since he believes in words. The anti-Semites have the right to play. They even like to play with discourse for, by giving ridiculous reasons, they discredit the seriousness of their interlocutors. They delight in acting in bad faith, since they seek not to persuade by sound argument but to intimidate and disconcert. If you press them too closely, they will abruptly fall silent, loftily indicating by some phrase that the time for argument is past."
"Lenoir","2023-02-05T17:39:52Z","@Aaron sky I can assume you also think globe earth is a hoax. If so, I won't waste time on you."
"Aaron sky","2023-02-05T17:36:04Z","@Lenoir lol. Where's the conspiracy in not believing a hoax. I would guess the irony of your comment is wasted on you."
"Lenoir","2023-02-05T17:27:22Z","@Aaron sky Then I wish you luck chasing your conspiranoic dream."
"Aaron sky","2023-02-05T11:41:43Z","@Lenoir then I wish you luck chasing your tail."
"John Harrison","2023-02-13T07:26:05Z","If we're lucky, methane hydrate is a MF like NO OTHER."
"John Harrison","2023-02-13T07:28:10Z","It is entirely possible it was warmer at the north pole. There's something called the polar vortex, and when it warms up it starts drifting out of the arctic. I remember when it was -60 in chicago it was 20 or 30 degrees warmer at exact polar north. Never confuse your local temperature with GLOBAL average temperature."
"John Harrison","2023-02-13T07:29:07Z","Do you think bankers don't have sweetheart insurance deals from the insurance companies they own?"
"Nuno Foo","2023-01-27T03:48:53Z","You never heard of the 2007–2008 financial crisis?"
"John Harrison","2023-02-13T07:30:20Z","Do you know how the CO2 got into the atmosphere during the time of the dinosaurs?"
"John Harrison","2023-02-13T07:41:48Z","They do not have the agents they release into the atmosphere in enough abundance, they don't have enough ground stations to pup out frequencies, and they don't have enough electrical generation capacity to even attempt to manipulate the entire atmosphere, at best they can defuse a storm so it doesn't damage an important city but it's prohibitively expensive."
"ArtWorld_create","2023-02-11T05:42:29Z","So we are in the middle of a mass extinction."
"John Harrison","2023-02-13T07:44:21Z","How about the people who don't have faith in human ingenuity so the real problem solvers can get to work?"
"ArtWorld_create","2023-02-11T05:43:27Z","This climate change was man made. We are destroying the ozone layer of our earth. We are destroying everything on our earth. Our house is on fire."
"John Harrison","2023-02-13T07:45:38Z","We have indeed crossed the most essential tipping point, methane hydrate is being released."
"Andy & Scar BigFoot Territory Investigators","2023-01-20T10:18:03Z","That’s right ❤️✌️"
"Katze400","2023-01-24T09:19:31Z","christian Arabs are not oppressed, stay mad"
"John Harrison","2023-02-13T07:46:35Z","We really had it all and we wasted it, Don't Look Up will become a classic."
"Steven Hull","2023-02-05T10:10:40Z","De-population is necessary unless you want an overpopulated world putting more pressure on our limited resources."
"John Harrison","2023-02-13T07:47:48Z","@Lululegende To be fair, that guy who told idiots to drink roundup said it's safe. And he is a doctor."
"Lululegende","2023-01-19T22:26:53Z","when literally every single scientist on earth agree on a topic and you say you have no concrete evidence"
"Former Marine","2023-02-13T08:36:59Z","@John Harrison then watch the documentary! If you want to know the truth! Many have, and learn how propaganda has no scientific basis! Gore's movie is a complete fabrication of lies with no scientific facts! Even in the bible Jesus states, my people perish for a lack of knowledge! When you seek knowledge thru scientific forensic discovery, you learn not only truth, but you also learn how the deceivers lie! We are going to go thru a global cooling. And this will be many year's of temperatures that will show over time !"
"John Harrison","2023-02-13T07:49:19Z","Do you come here expecting anyone to do anything but mock you? Honestly, can you find ONE accredited university IN THE WORLD to disagree with NASA? I've asked dozens of people, no one's ever come up with a legitimate university that denies global warming."
"John Harrison","2023-02-14T02:29:02Z","@David Corbett  we could have a healthy planet with 12 billion. But you're right globalist elites keep trying to get I'm the way because they knew the the people except them to pay to clean up their own mess."
"David Corbett","2023-02-13T18:07:24Z","@John Harrison well if they changed the rules n behavior better than then clean the planet accords of the politician s and rich n rich companies along with planting lots vegetation on all developed properties and roofs and around all crops and crisscross all big crops we could help keep it a healthy planet and have 20 billion people and still healthy planet"
"John Harrison","2023-02-13T07:50:31Z","The issue is, the process of emitting enough CO2 to raise temps by that much was not a smooth ride. As a mater of fact, it caused the 2 of the 3 most recent mass extinction events."
"John Harrison","2023-02-13T07:51:15Z","nobody has made that prediction, no scientist at least. No one using actual data. Just media pundits trying to sell a story."
"John Harrison","2023-02-13T07:52:23Z","The time is indeed up. Don't Look Up 'Lockdown methane INCREASE!! What's going on??'"
"John Harrison","2023-02-13T07:56:22Z","@ArtWorld_create After every extinction event life moves 10mph faster, gets significantly smarter and more thermally adaptable. Nature has seen this before, it's nothing new or and can hardly be considered unique. The earth will rebound in beautiful ways, we just won't be around to see it. Can you imagine the giant reptiles, mustelids, bats and shrew that are going to evolve in our absence?"
"lionel de Mun","2023-02-11T08:37:43Z","@ArtWorld_create I know that I pick up trash everywhere. It was only "" tongue in cheek""."
"ArtWorld_create","2023-02-11T05:47:50Z","Uhm? We are killing Mother Nature. It’s going out with us. Hundreds of species are going extinct right now. Its not even close to a blessing and if you think so you need to do some research."
"John Harrison","2023-02-13T07:56:59Z","@Hade Lol, go to a covid party quit bothering us functional adults."
"Hade","2023-01-15T16:14:35Z","Sheep. Brainwashed sheep."
"Steven Hull","2023-02-05T10:04:24Z","Make up your mind. One minute you say nothing lasts forever and then you say time cannot be stopped. You are a very confused person."
"John Harrison","2023-02-13T07:57:23Z","Solid advice."
"John Harrison","2023-02-13T07:58:54Z","No, they are not. They can't manipulate hat much of the atmosphere that much of the time."
"Against Viral Misinformation","2023-01-13T21:34:57Z","Plymouth has been submerged multiple times before plus it has been moved since the pilgrims landed there"
"Steven Hull","2023-02-05T10:18:54Z","So am I"
"Satoshi Hiramatsu","2023-01-11T15:43:47Z","It is scary to see the fake information that people believe.  Why do they say 3 degree of global warming that is not happening?"
"NIKOS MPOXLOS","2023-01-11T09:30:49Z","How many times in the past our planet have warmed and cooled again ?
Don t be afraid of anything, this is a normal procedure with just a little more speed.
At least the previous times that have happened this, people weren't forced to pay taxes for that.
Greetings from Athens !!!
Nikolas 
Taxi driver"
"Blue Steel","2023-01-11T05:48:15Z","If not for global warming we could be in a ice age. Which would you prefer.
we are 1,000 to 3,000 years overdue for another ice age, which could be upon us, if it weren't for mankind's activity."
"Lucky1","2023-01-10T23:51:45Z","Aight 90 percent tax on millionaires and above like in the 50s. Make America great 😜"
"Micheal Coulson","2023-01-10T22:40:37Z","Time to merge with AI"
"w s","2023-01-09T19:05:02Z","which countries...will be swallowed by the sea?"
"Nick Kacures","2023-01-09T18:45:40Z","It sure looks like the scientists involved in studying climate change are being constantly schooled by Mother Nature that they have been way too conservative on their predictions of extreme climate disruption"
"dr muhammad ahmad","2023-01-09T03:20:42Z","Where is global warming now??
In america,Japan,Europe everywhere,there is worst ever winter"
"aveli lpy","2023-01-08T16:39:10Z","people live in 50 degrees celsius, all year round and have lived there foe millions of years,
all those who care about the future should care about all thos poor children lacking food clothes and shelter,
there is no such thing as global warming nor co2 causing it. it is all a big fat lie. if there was any truth in it, banks wouldnt give out mortgages for development projects in cities which are predicted to go under sea level, stop lying to the kids."
"Van Z C","2023-01-08T11:13:06Z","At least most of this watching this video will be either be very old or be very dead when the entire world collapses"
"K K","2023-01-08T04:20:44Z","We have 27 years to go. Make the most until humanity gets wiped out. Oh yeah, definitely don't have kids unless you want them to suffer."
"Priyadarshan Gajbhiye","2023-01-07T05:37:18Z","Don't worry,there are HUGE tracts of land in Canada,Alaska,Russia, Greenland which are currently totally unused due to how cold they are. Just relocate peeps."
"Cary de Best","2023-01-07T00:59:53Z","Horrible journalism!"
"12shzarmai 55","2023-01-06T12:41:38Z","Hence why humanity needs more thorium-based nuclear power, renewable energy and hydrogen fuel for it's energy needs."
