"comment_author","comment_date","comment_text"
"OgamiItto70","2023-02-08T06:13:23Z","""...But government action _is_ an either-or thing; we don't have endless money...""  Sure we do.  We had endless money for TARP when Wall Street ""bank"" firms were imploding.  (But not for the actual homeowners who were being foreclosed on.)  We had endless money to subsidize the research for those vaccines that everyone is all excited about these days and that made the Big Pharma corporations *_so much richer._*  (But not for distributing cheaper, effective existing drugs to fight the recent unhealthiness.)  We have seemingly endless money to send off to the literal Nazis in ""Europe's most corrupt nation"" who are fighting a proxy war with Russia over natural gas resources.  (But none to help the teeming masses of our own citizens who suddenly find themselves homeless because of the economic effects of draconian, misguided and ineffective lockdown policies over the last two years.)  And if we start running low, we can just print more.  We can do that, you know."
"Chris Sever","2023-02-07T15:24:20Z","People like Obama spout off their endless fearmonger garbage and at the same time buy 15,000 sq ft mansions by the ocean all powered by propane and coal. Then fly around in jets to golf and “warn” everyone 😂"
"Jordan Cambridge","2023-02-06T19:57:26Z","As the climate gets slightly higher temperature the Sahara desert shrinks and trees increase by trillions of percentages.  There are over 467 trillion% more trees on the planet right now than there were in the 1970s.  I call Balrag on the fear mongering because of reality is a giant 30 foot purple dragon dildo found in the back of a Spenserz to the face."
"Jordan Cambridge","2023-02-06T19:52:16Z","Heat did not kill those people but the parents leaving their children in parked cars for days killed the children.  It was murder not the heat that killed people in heat.  Cold actually harms humans far more."
"Sander Van der Kammen","2023-02-06T01:40:05Z","Global warming is a religious cult.."
"Justin Young","2023-02-05T15:18:12Z","Check out the Ishaya's Ascension"
"Jack","2023-02-05T00:19:14Z","The truth? The Democraps are getting richer off of it, just like the plandemic"
"MFK","2023-02-05T00:06:30Z","This guy, John Stoessl is a first class, moron… You can cure dysentery and address climate change! The government deals with thousands of problems simultaneously. They can chew gum and walk at the same time."
"MFK","2023-02-05T00:02:24Z","This is a stupid conversation. You need more intelligent guests to explain the science behind climate change."
"Game EvryDayBro","2023-02-04T14:36:02Z","Useless video..."
"Marco Vitali","2023-02-03T23:12:43Z","Man made Climate change is the oax of the 21 th century. It is simply a way for former communists (still many in Europe), to destroy the western society using the environment issue as a shield."
"Timmy G","2023-02-03T14:18:29Z","This is the real ""inconvenient truth"". This is the real conspiracy theory. Liberal government needs control over the people. Corporations control governments. People pay and suffer. Most people on the planet only suffer. Seems to be working so far...for the super-rich."
"al su","2023-02-02T21:38:57Z","Lunatic people?
Believes and worship the
Climate Change.
And the right word to describe them, FoolS,.,."
"Califranky","2023-02-02T10:22:23Z","When you see vids like this, give it a like and express your self, we are being scammed and raped by corrupt politicians, they are already taxing the living hell out of us and it will get worse, just look at the mind blowing plans for Oxford in 2024, if we don't stop them your children and grandchildren will live under total dictator ship where they will ""own nothing and will be happy"" while they will own everything."
"Shawn","2023-02-02T05:01:09Z","It's not climate change it's climate greed"
"kyle89","2023-02-02T04:59:55Z","The mote of his videos I watch the more I become a john stossel fan. He really seems to want to get to the truth of things and I feel confident what he says is true"
"James Gillespie","2023-02-01T23:01:53Z","You know I don't actually believe in climate change but I do believe it is the Earth's Dynamics you worried about CO2 in the air isn't that what the hole in the ozone layers for to expel that don't hear about the ozone layer anymore what happened to that I remember when that was it really really really big issue"
"Seann Fox","2023-02-01T21:21:39Z","If Barack Obama truly believed in climate change and the oceans rising why did he buy a multi-million dollar home in Martha's vineyard?
Politicians tell us to buy electric vehicles but they don't. They have stretch limos and sports cars. Can you say Hippotwit?"
"A Dingman","2023-01-31T16:14:36Z","Climate Change is just a scam perpetuated by the Left in hopes of getting more money out of uneducated people."
"BREAKTHROUGH","2023-01-31T14:00:23Z","Zero net energy house? What about ur carpeting? Countertop? Fixtures? Siding?  Total moron. Total corruption"
"BREAKTHROUGH","2023-01-31T13:52:37Z","This video was 6 years ago, now im seeing this fear mongering taken to rhe next level."
"BREAKTHROUGH","2023-01-31T13:46:33Z","Fear mongering. Lets be smarter folks. Co2 is not a dangerous gas."
"BREAKTHROUGH","2023-01-31T13:45:49Z","Global warming cannot be stopped. Nature will make it happen w or without our help"
"John Warren","2023-01-31T03:04:06Z","Well I can guarantee you the climate is going to change cuz there's going to be a new heaven and new earth and man has nothing to say about it"
"Barney Gordon","2023-01-30T08:53:14Z","so who cares if God has purposely created us so we destroy his earth. that is all up to him if he has pmans to let us destroy his planet. chances are, though I may wear a silly grin, that God has absoltely no plans for us to destroy his planet. but didnt he say that he is going to get rid of earth some day"
"Ingvar Åberge","2023-01-30T06:09:43Z","If Obama were right at 3:34-3:37, one thing is for for sure, it is time to stop spending money on climate research."
"Kenneth Wallace","2023-01-30T05:57:31Z","I saw an old Nova episode many years ago that said we had worse hurricanes 300 years ago...long before the industrial revolution and at a time of global cooling.  Scientists at the time attributed the phenomenon with oceanic volcanic activity was warming the sea water.  So I googled.  Turns out there are between 45 and 55 thousand ocean volcanoes.  Scientists have only explored about 4 dozen and determined the ones that were active and inactive.  That leaves a whole lot of potential for ocean warming that we know nothing about.  BTW, I can no longer find that Nova episode...it seems to have disappeared.  Google will soon change the estimated number of ocean volcanoes too.  I've seen them do it in other instances.  Like when I was in nursing school I looked up how many deaths by flu and the number was 80 thousand..
Now it has been miraculously revised to 28 thousand...see what they do!  Nova episodes now beat the manmade climate change drum.  We are certainly being misled."
"Paul Froelich","2023-01-30T03:44:25Z","Obama is a great politician because he is magnetic, charismatic,  and unbelievably full of shit."
"abel garcia","2023-01-30T02:05:28Z","How come they never state what the average temperature if Earth is?  It is 57.2F FYI."
"Keith Albright","2023-01-29T23:57:04Z","Scienctist need to be associated"
"ه ه","2023-01-29T22:01:30Z","I remember my high school biology textbook saying that the Amazon Rainforest will be completely gone in 20 years.  That was 30 years ago.  They still make these crackpot predictions to this day.  2064 has now been selected as the new date when the rainforest will be gone."
"John Catto","2023-01-28T17:42:03Z","If the worlds rulers spent their time trying to change things for the better rather than try and change things with no thought to the future then perhaps they would get on better. I think net zero is a dangerous, stupid waste of time and money."
"Greg Fraunfelter","2023-01-28T17:39:30Z","There is only ONE reason for this kind of tyranny and the line from a movie explains it all, ""Show me the money!"""
"Octavius Manago","2023-01-28T13:06:44Z","""Dysentery is cheap to fix"" (6:10) - translation - there's no money in it."
"Jan Gadze","2023-01-28T10:22:18Z","This video shows a complete lack of understanding..."
"Mike Manning","2023-01-27T22:29:31Z","They are full of crap"
"Justin 0ldman","2023-01-27T14:23:27Z","I love Cheeseburgers 🍔 
& Gasoline ⛽️"
"1XM_MX1","2023-01-27T12:27:52Z","The ""scientists"" were wrong about the rate of rising sea levels.  They were also wrong about the c-word disease deaths.  And they continue to 'predict' these dire 'catastrophes"" and scare people into agreeing with draconian dictator-like policies that make little or no difference to the outcome."
"raysmusic49","2023-01-27T04:30:51Z","Climate change…big hoax"
"haydeh abdolahian","2023-01-27T02:54:38Z","Is total BS 🤮🤮well ! every things changes naturally 🤷🏼‍♀️and Climate changes what ever we do or not do 😏stop make money out of ignorant kid 😢"
"Billder Inbaja","2023-01-26T22:07:57Z","John Stossel is a horrendous liar, plain and simple. He is intentionally delivering misinformation in every one of his videos... easily provable misinformation. Don't take my word for it... look it up!"
"Rad Thadd","2023-01-26T08:58:50Z","The deaths from cold are far higher than that. When you count the amount of diseases that proliferate in colder climates"
"Terry D","2023-01-26T07:14:16Z","Even Judith Curry is ignorant 🤦‍♂️
The data shows an inverse relationship between CO2 and temperature"
"KingTojPisces","2023-01-25T21:43:46Z","97% of scientists....that was disproven since it was 97% of a biased, cherry picked group. And none of them agree that it will be a disaster. They agree the climate is changing...lmfao...like...yeah, weather, ya know!? 🤪🙄"
"ed smith","2023-01-25T21:27:42Z","John Stossel will be sitting next to Jesus, Elvis, and Jimmy Swaggart when he dies and goes to Heaven."
"Glade Goodrich","2023-01-25T20:52:03Z","97% ???
Figures dont lie but liers can figure!"
"Bryan C","2023-01-25T19:52:38Z","I didn't go to college but it seems to me if  you cover a good percentage of the earth with asphalt and steel the temperature in that area could be higher than it used to be. I mean put your bare foot on your driveway in the summer and the other in your grass and see which is hotter. There used to be a lot more greenery than it is now. Why not use some heat absorbing materials. Concrete absorbs more heat than asphalt. Just saying. I did graduate from high school."
"Jim Lyons","2023-01-25T13:29:07Z","In my father’s lifetime the human population has grown from less than 2 billion to now close to 8 billion. This growth was sponsored by fossil fuels, a finite resource who’s supply is now diminishing. Our economic system itself has an embedded exponential growth obligation.
The powers that be talk only about climate change because they don’t want to speak to the real problem…OVERSHOOT"
"fresh prince","2023-01-25T07:46:19Z","They're (elites) using climate issues to usher in a dystopian one world govt. Which will lead to the mark of the beast. WEF and the vatican are heading this push. They created this war is Europe and climate change as the boogeyman and they are creating the ""solution"". I dont have a reputation to worry about , ill say what it is.."
"whatthefuckiswrongwithyou? asshole","2023-01-24T21:58:02Z","Science is never settled and with no questioning of the hypothesis there is no science"
"whatthefuckiswrongwithyou? asshole","2023-01-24T21:55:48Z","And all gore's new claim that there is a bubble of co2 that will be as hot and 600 thousand atomic bombs lol"
"whatthefuckiswrongwithyou? asshole","2023-01-24T21:54:37Z","Obama believes the ocean is rising but buys a 12 million dollar mansions on the beach"
"Bradley David Good","2023-01-24T19:27:11Z","such bullshit, the whole climate thing, good job John"
"Bernard Hutchinson","2023-01-24T19:26:30Z","Has anyone ever looked the list of these 97% of scientists? I did & 96% of them are “not scientists” at all b/c the list includes professors, celebrities, activists & so called journalists & other far left propagandists! So there isn’t a 97% consensus. Every few years there is a new set of “so called” list of bogus evidence by the propagandists & government bureaucrats & other nefarious players & lobbyists trying to push the climate BS narrative! Many actual scientists are afraid to put out the truth b/c they’ll lose funding & probably be out of a job, so they print what will give them new project funding! What a crock of climate shait’"
"Siberian husky puppy","2023-01-24T18:54:39Z","Jesus is Lord"
"Bonnie Wilson","2023-01-24T18:12:36Z","Depopulation.."
"Joe T","2023-01-24T16:20:46Z","EXACT same mentality behind the whole movement LGBTQ+ of the last 10-15 years. No debate or discussion allowed."
"Rob Fowler","2023-01-24T15:41:30Z","97% of scientists are NOT climate specialists and so their opinion and the number 97% is irrelevant."
"EverythingOrNothing","2023-01-24T15:14:27Z","John has always been a great reporter of the facts over the last several decades he has not failed the American people and I'm glad to see him exposing this fallacy this ideology of EV being the way to go because it's not and it's worse than what we have right now.
Solely because it's going to cap people's debt ceilings buying electric golf carts that they can't even freaking use on a day-to-day basis.
You want big government in your life buy a car that's watching every algorithm you produce."
"Nikita Webber","2023-01-24T04:31:40Z","Tax slavery"
"Texas Forever","2023-01-24T00:19:23Z","Global warming is a myth....ice caps have been melting for millions of years."
"Jason Vanover","2023-01-24T00:00:48Z","Climate change is happening, has happened ever since there has been a climate"
"Matt Harmon","2023-01-23T23:26:35Z","Climate changes every day."
"Bill Bruton","2023-01-23T23:19:26Z","Well tne weatherman cannot accurately predict the local weather how can anyone claim to predict climate change accurately if you follow the science its impossible to predict as records show"
"FuzzyPanda16","2023-01-23T19:40:02Z","The hypocrisy, censorship and hatred for dissenting opinions of the left was pretty tame 6 years ago compared to today."
"Paul Lee","2023-01-23T18:47:01Z","Sure there is a climate change because the climate has been changing since the beginning of creation. But , is there a climate crisis? I think not. It’s just the earth’s way of going through its own cycles. Again, just like everything else, someone out there is trying to scare the public for their own agenda."
"Ken Davis","2023-01-23T09:56:28Z","Humans are burning 100 million barrels of oil PER DAY. we arent going to stop. This isnt just some CO2. This is too much."
"Jr Cruz","2023-01-23T07:01:44Z","5:16 Obama said raising ocean.  If it is raising ocean.  Why did  he buy Martha Stewart property?"
"Brian Miller","2023-01-23T01:07:23Z","John stossel there was no before humans existed..learn 1st and 2nd laws of thermodynamjcs..there was no millions of years"
"james sansone","2023-01-22T22:27:16Z","When someone like Thomas Sowell says that these climate people are full of it , I believe you Tom"
"Elery Sylvestre","2023-01-22T19:09:47Z","The fact that C02 exist on this earth, I believe it serves a purpose on earth and “they” are using it for the wrong reasons."
"Gone in 60 tixs","2023-01-22T16:40:21Z","Read Michael Crichton"
"tom brown","2023-01-22T16:31:15Z","All the past horror scenarios are gone and now we have a new one.  IDIOTS."
"𝕊𝕠𝕞𝕖 ℝ𝕒𝕟𝕕𝕠","2023-01-22T00:10:43Z","I prefer warm weather."
"Al Koenig","2023-01-21T16:21:28Z","Neil Degrassi Tyson is a plagiarist and a liberal idiot."
"Scott Koontz","2023-01-21T15:55:13Z","It's CO2. No scientists disagrees (although a few are paid by oil companies and/or do not publish their work for peer review, so they are silly and are not counted). 

If you get your science from right-wing entertainment like Stossel or anyone on Fox entertainment you can be forgiven for being duped for a week or two, but once you read ANY science paper on the topic you will realize how duped you were."
"Roger Diogo","2023-01-21T15:38:50Z","Is so cold, when it finally starts warming, it will be a miracle..."
"LP","2023-01-21T15:19:12Z","To me, there absolutely is climate change, I just call it weather"
"stevendog40","2023-01-21T02:30:28Z","Please..anyone who watches this false propaganda look else where for your sources. This is wrong. The climate is changing. Humans are causing it. It will have catastrophic effects. End of story."
"robin hood","2023-01-20T17:44:14Z","Curry abandons science, yes it shows!"
"robin hood","2023-01-20T17:41:19Z","This is so misleading. Cherry picking key quotes just to make your false point. It's like twisting words to fit a narrative."
"as692419","2023-01-20T17:05:44Z","Stossel is a world-class charlatan. Why does he keep having oil company shills from right-wing 'institutes' on his show?!"
"Rick Kooi","2023-02-03T15:44:32Z","Sooo, you conclude he is a great performer."
"BrianBCG","2023-02-01T19:49:25Z","It's not a 'crackpot prediction', it's just one that was made based on the information at the time. If things had continued as they were it would have been as predicted, but the deforestation rate slowed. The Amazon Rainforest doesn't just magically disappear over time, it's based on our actions."
"Rick Kooi","2023-01-29T17:45:07Z","You have missed the historical FACTS! 
You have missed the Fossil Deep State! 
.
You have missed the Globalist Bankers hand-in-hand with the killer Coal//Fossil Fuel  Deep State. 
1. 
The massive redistribution of wealth  and PURE POLITICAL POWER
(( you are blaming on the SCIENTISTS, Renewable Industries and ONE WORLD GOVERNMENT MARXISTS )) 
has been ongoing by the GLOBALIST Fossil Fuel Deep-State Energy monopoly AND their GLOBALIST BANKERS!!.  
Despite their enviable profitability
...they started getting Subsidies & Supports After several years of OVERLY generous political donations in 1918!
.
Those Supports/Subsidies have done nothing BUT GROWN!
2.
BOUGHT MORE POWER. 
3.
BOUGHT MORE POLITICIANS!
3.
19 years ago, worldwide subsidies & supports to the fossil-coal Fuel Billionaire Industrialists & dependent industries. (( and their globalist bankers )) 
had grown to 1% of the entire world's GDP...trillions of dollars.
4.
In 2016,
Paul Ryan gave a Lengthy Lamentation about the fact, that by that year's end, 
""Supports/Subsidies/Free Infra Structure Construction and Maintenance/wage supports/ Foreign Aid 
to reimburse nations for the Subsidies they are required to give OUR fossil Fuel Industries, etc. 
would REACH A MAMOUTH  ONE  (1) TRILLION DOLLARS...just in the US.
.
That same year,
5.
2016, worldwide the Globalist Fossil Fuel Deep-State and their ultra nationalist bankers were 
SUCKING ABOUT 6 to 6.5% of world GDP.........many trillions of dollars!!  
IT IS IN THEIR BEST INTEREST to keep you pointing in other directions!
... at welfare, at Green Energy programs, at Illegal Immigration, 
at other people's claim of Redistribution of wealth, etc. 
Point at anything but their nefarious INTENT!
WEALTH, POWER

But if you follow the money...and all the tax breaks, Deferred Taxes
...it flows overwhelmingly toward The DEEP STATE Fossils & Their GLOBALIST Bankers.

AuH2O forever."
"Miles Long","2023-01-28T06:00:43Z","what data exactly"
"Mohawks and Tomahawks","2023-01-23T05:09:25Z","But you can't be forgiven for getting your science from left-wing entertainment like Leo DeCaprio, Greta, or anyone on CNN, ABC, BBC, or The New York Times"
"Mohawks and Tomahawks","2023-01-23T05:10:34Z","The climate has changed for 4 billion years. I guess humans did that too"
"robin hood","2023-01-23T19:13:50Z","@Mohawks and Tomahawks Do you have any examples of climate change propaganda?

Yes the climate has always changed as evidenced by ice core data. And this evidence shows the climate changes over the course of tens of thousands of years. What we are seeing today is that change compressed into just 200 years. 

Nobody is disputing climate changes naturally, we are saying it is changing at a breakneck pace and that complex life cannot adapt to it at such pace. 

FYI according to Milankovitch cycles we should be heading into a new glacial period, and the Earth should be cooling down now. Human activity has overridden these natural cycles and we are instead heating up. How do we know this? ICE CORE DATA!

And I really hate this nonsense about humans having no effect on this planet.... Are you actually serious with that stance? Have you not SEEN humanity? We cover literally every inch of this planet with our activity like skin on the body. There are 8 BILLION of us churning out emissions every moment of every day. Of course we influence this planet in gargantuan ways!"
"Mohawks and Tomahawks","2023-01-23T05:13:05Z","Well, the Climate Change propagandists do it too, so tit-for-tat.
Try the truth. Climate has always changed. Forever. Since BEFORE humans existed. Ice Core samples tell us that. And it will continue to change long after humans are gone. 
Space has a much larger role than humans do on climate change. Look it up."
"E","2023-01-20T12:56:21Z","beware media banning free speech, cant accept the different"
"Shaanz 2.0","2023-01-19T18:17:01Z","Tired of climate change hoax 🙄"
"Fin Thiessen","2023-01-19T17:33:00Z","lol is this stupid :D"
"Mr. L","2023-01-19T07:22:04Z","I don’t hear any preaching about pulp mills burning 24 hours a day, all the fuel burning to mine these precious earth metals, industrial waste, garbage and sewer polluting our oceans, ect. The carbon footprint they want gone is you."
"David Muresan","2023-01-19T05:21:21Z","I housed homeless people on my property, and Island County in Washington State put me in jail for 4 Months, forced me homeless, cut all my income and put me in danger of losing my house in foreclosure. They took away my right to use my toilet and to work on my inventions on my property. Court of Appeal Div.1 from Seattle, Commissioner Masako Kanazawa denied my requests to prevent my arrest and homelessness. In his decision he wrote “David Muresan is safer as homeless or jail than to live on his property”.  During my arrest, a police officer offered me some money if I accept to go homeless and not to go to jail."
"s ki","2023-01-19T04:44:57Z","if mother nature could speak ........................globalist radicals get off me😠"
"Larry Bruck","2023-01-19T01:22:49Z","When one  hears this in the news "" Last year was the hottest year ever recorded"" .....one must take this in context and ask questions. Such as: ""Where on the planet has the temperatures risen the most against the averages?  How many people live there? During what season has these record breaking temperatures occurred? Why are the oceans warming? What is causing them to warm? Is it CO2? Is it underwater volcanoes? What effect has the increase of water vapor from these warmer oceans had on temperature? Where on the planet does this increase in water vapor had the greatest effect?"" I personally don't believe CO2 is to blame for global warming. I believe the oceans are driving our planets warming trend and that the oceans are warming for a variety of reasons, including underwater volcanoes. But not CO2."
"John Landry","2023-01-18T23:12:25Z","What an idiot!"
"22 Legged Sasquatch","2023-01-18T19:03:53Z","Since the late 90s, the World has had a net cooling, which is why 'they' now call it 'climate change'. All lies. It's all about getting tyrannical control. 

IF government gave a crap, companies like Mcdonalds wouldn't exist."
"CrispiT","2023-01-18T16:36:23Z","3min 15secs;- Who on earth cut off one of Clarksons testicle hairs and released it into the world!"
"LEON","2023-01-18T11:54:49Z","„Carbon could cost us the planet“… uhhh. No. Opposite actually. 😂 it makes the planet more hospitable for Us and other forms of life. Especially plant life, like food crops for example. But also other plants. Thats why the planet has been getting more and more green over the past 20,30 years. Just think about it logically. A biological baseline rule is that Animals keep growing if exposed to an abundance of nutrients. What is a key nutrient for Plant life to thrive? Co2. So plant life will increase in terms of diversity and biomass. And what does that produce? Oxygen, which we kinda need. It will also make our food crops more productive, which we also kinda need. Don’t buy everything you hear. And especially don’t buy it if you hear the same things everywhere and only one side of the coin. I cannot think of one thing that is Only negative or only positive."
"IggyTs","2023-01-18T09:35:50Z","Earth is not warming, not even a little; it's the same, in the grand scheme.  If it does warm, that will be good.  The alarmists are killing me.  They're so full of BS, they have no credibility.  I don't even believe their numbers.  They make that shtuf up to fit their scam.  Their jobs depend on it.  I have no respect for them.  They are retards."
"Cherry Fressh","2023-01-17T21:20:08Z","Well, indeed Moomaw makes it quite clear. It has as much to do with science as a cow with mathematics.
It is all just ridiculous bs."
"Embeded Fabrication","2023-01-17T13:23:21Z","if the west is in a 1200 year drought.....what happened 1200 years ago to cause such a drought, there were no cars back then remember."
"Embeded Fabrication","2023-01-17T13:22:19Z","if everything is so BAD for us then why are we living so long???"
"Embeded Fabrication","2023-01-17T13:19:56Z","solar power in New England......what's wrong with this picture??
sadly, very few people see the paradox"
"Musenga Phiri","2023-01-17T12:42:21Z","The word of God tells us that this earth will is rotting and not this GW scheme which is the same as space programs meant to take away wealth where it is needed....."
"Timothy Garrett","2023-01-16T09:51:45Z","If you believe this so much how come Obama bought a house on the seacoast? He must not be worried about the rise in the oceans"
"Elijah Bey","2023-01-16T02:53:02Z","The Left are out there.  They can't be bargained with.  They can't be reasoned with.  They don't feel pity or remorse or fear.  And they absolutely will not stop.  Ever."
"Highland Games","2023-01-15T23:01:48Z","making the big mistake --- thinking Politians are interested in helping people"
"G5 Starrr","2023-01-15T20:02:54Z","R.I.P Patrick Micheals"
"Halford Slain","2023-01-15T12:30:22Z","Weather is dangerous 😝"
"Tropic Aussie","2023-01-15T08:42:16Z","I wonder what climate change deniers like this idiotic right wing conservative has to say about the devastation affecting the United States right now  ?  Severe blizzards , increased frequency of hurricanes  , tornadoes  , floods etc. etc. just like the climate scientists had predicted ! 
          For a climate change EXPERT  , you really make a great clown !!"
"Pet Cactus","2023-01-14T18:11:45Z","It's all about control."
"Dave Scott","2023-01-13T10:52:48Z","The car temp analogy is the biggest, most unscientific load of Horse shi t I've ever heard"
"TJB 1955","2023-01-11T19:44:17Z","Of course everyone knows if just  two of the filthiest pigs on the planet, China and India were forced to clean up their air and water ways the world would be a much healthier place."
"Rikkos Hop","2023-01-11T04:32:39Z","Yea let’s just keep sticking our heads in the sand because it’s expensive. It’s going to get even more expensive because we didn’t do the right things when we should have done them back in the 60’s. In that time there have been whole islands that have been swamped by the sea. And yet us fools are still talking gee but it’s so expensive. Really talk too those folks that lost their island and their homes. First we will see a collapse of our ability to feed ourselves, then population decline. Long before Florida becomes an under water park. But let’s just keep kicking the can down the road, cause, gee this climate shit is just so damn inconvenient !!!"
"TERRA","2023-01-08T14:28:16Z","problem,reaktion ""olution thay make nature problems ..cemy industry schoping ,shoping shoping,garbage 
ecc...dont beliwe,people and animals are guelty.…follow the many..."
"TERRA","2023-01-08T14:13:17Z","good you see this pappet withaut own nowledge......"
"TJB 1955","2023-01-07T22:36:02Z","Screw the U.N. climate stamp on this and screw the jackass that insists it be here."
"James Holmes","2023-01-05T15:17:58Z","Oh, and screw you YouTube, and your idiotic disclaimer at the top."
"James Holmes","2023-01-05T15:17:00Z","The climate change pushers are a cult, not a religion."
"Kevin Cole","2023-01-05T15:01:38Z","The scientists are all being paid to say exactly what they're saying must be liberals"
"Domnik 1968","2023-01-05T11:33:14Z","Incredible. The transformation of ""climate models are not perfectly accurate"" in ""models are bad"" to end up saying ""why should we trust them"" ! What a fallacy ! And the rest of the video is just the same. People that believe this content don't think, they just want to believe."
"Scott Abbe","2023-01-04T22:28:28Z","Climate change is a natural cycle the earth goes through…. It has NOTHING to do with human activity. It has just provided leftist, progressive, woke, persons to grab money and control from the people of the earth. WAKE THE HELL UP PEOPLE!!!!!!!"
"Kent Churchill","2023-01-04T21:14:34Z","Be scared of everything is the message I feel they are sending.  Florida may lose a few beaches in the next 100 years."
"Tony MOore","2023-01-04T04:48:00Z","Fear mongering robbery"
"Tony MOore","2023-01-04T04:46:50Z","Climate change is normal, the last 150 years has been the mildest weather in human history. Now things are getting back to normal"
"Kay Sussex","2023-01-04T04:29:19Z","Obama really must be stupid: he believes ocean levels are rising but he still bought a house on the beach"
